z_index,z_position_mm,pores_fraction,resin_fraction,material_fraction,total_fraction
82,6.5600000000000005,0.005033930359328068,0.20672488597174324,0.7882411836689287,1.0
83,6.640000000000001,0.005117365669151185,0.20541773278451442,0.7894649015463344,1.0
84,6.72,0.005534542218266771,0.20288686171987985,0.7915785960618533,1.0
85,6.8,0.005423295138502615,0.20238624986094114,0.7921904550005562,1.0
86,6.88,0.004255200800978974,0.20447213260651909,0.791272666592502,1.0
87,6.96,0.004505506730448325,0.2078929803092669,0.7876015129602848,1.0
88,7.04,0.004338636110802091,0.21134163978195572,0.7843197241072422,1.0
89,7.12,0.004644565580153521,0.21924018244521082,0.7761152519746357,1.0
90,7.2,0.005701412837913005,0.22766714873734564,0.7666314384247414,1.0
91,7.28,0.006146401156969629,0.23186672599844255,0.7619868728445879,1.0
92,7.36,0.005423295138502615,0.23089331405050617,0.7636833908109912,1.0
93,7.44,0.0038936477917454666,0.23100456113027032,0.7651017910779842,1.0
94,7.5200000000000005,0.0041439537212148185,0.22972521971298254,0.7661308265658027,1.0
95,7.6000000000000005,0.004283012570920014,0.22446879519412616,0.7712481922349538,1.0
96,7.68,0.0037824007119813103,0.2187951941261542,0.7774224051618644,1.0
97,7.76,0.004811436199799755,0.2153187228835243,0.7798698409166759,1.0
98,7.84,0.006062965847146513,0.2051952386249861,0.7887417955278674,1.0
99,7.92,0.006368895316497942,0.19710201357214374,0.7965290911113583,1.0
100,8.0,0.005645789298030926,0.1950161308265658,0.7993380798754033,1.0
101,8.08,0.006146401156969629,0.19379241294916008,0.8000611858938703,1.0
102,8.16,0.006313271776615864,0.1957392368450328,0.7979474913783513,1.0
103,8.24,0.006035154077205473,0.19726888419178998,0.7966959617310045,1.0
104,8.32,0.004978306819445989,0.2019968850817666,0.7930248080987874,1.0
105,8.4,0.004338636110802091,0.19979975525642452,0.7958616086327734,1.0
106,8.48,0.004032706641450662,0.2030537323395261,0.7929135610190232,1.0
107,8.56,0.004922683279563912,0.20333185003893647,0.7917454666814996,1.0
108,8.64,0.0052842362887974195,0.20269217933029257,0.79202358438091,1.0
109,8.72,0.0040048948715096224,0.20110690844365336,0.794888196684837,1.0
110,8.8,0.003587718322394037,0.19882634330848814,0.7975859383691178,1.0
111,8.88,0.0041439537212148185,0.2006341083546557,0.7952219379241295,1.0
112,8.96,0.004894871509622872,0.205139615085104,0.7899655134052731,1.0
113,9.040000000000001,0.004922683279563912,0.20945043942596506,0.785626877294471,1.0
114,9.120000000000001,0.0049504950495049506,0.2143174991656469,0.7807320057848481,1.0
115,9.200000000000001,0.006535765936144176,0.2175158527088664,0.7759483813549894,1.0
116,9.28,0.008037601512960285,0.21637557014128378,0.7755868283457559,1.0
117,9.36,0.008566025141840027,0.21626432306151963,0.7751696517966403,1.0
118,9.44,0.007648236733785738,0.21362220491712092,0.7787295583490933,1.0
119,9.52,0.006813883635554567,0.2128156635888308,0.7803704527756147,1.0
120,9.6,0.00873289576148626,0.21014573367449105,0.7811213705640226,1.0
121,9.68,0.011069084436533542,0.2088942040271443,0.7800367115363221,1.0
122,9.76,0.01081877850706419,0.20697519190121258,0.7822060295917233,1.0
123,9.84,0.010624096117476917,0.20666926243186115,0.7827066414506619,1.0
124,9.92,0.008927578151073534,0.20716987429079986,0.7839025475581266,1.0
125,10.0,0.006869507175436645,0.20288686171987985,0.7902436311046835,1.0
126,10.08,0.004728000889976638,0.20658582712203805,0.7886861719879853,1.0
127,10.16,0.004422071420625209,0.2116753810212482,0.7839025475581266,1.0
128,10.24,0.004227389031037935,0.2165980643008121,0.77917454666815,1.0
129,10.32,0.004032706641450662,0.22010234731338302,0.7758649460451663,1.0
130,10.4,0.0036155300923350763,0.22343975970630772,0.7729447102013572,1.0
131,10.48,0.003420847702747803,0.2254143953721215,0.7711647569251308,1.0
132,10.56,0.004867059739681833,0.22224385359884302,0.7728890866614752,1.0
